,CO,T,CS,FS,FT
464,0.8,0.5,0.375,0.20542920029347025,63.469
465,0.8,0.5833333333333334,0.375,0.1961767343278715,61.2
466,0.8,0.6666666666666667,0.375,0.19047036765305286,59.8
467,0.8,0.75,0.375,0.1874133855058286,59.0511
468,0.8,0.8333333333333334,0.375,0.17905763430341562,57.0
469,0.8,0.9166666666666667,0.375,0.173351267628597,55.6
470,0.8,1.0,0.375,0.16695198500040756,54.027
471,0.8,0.0,0.5,0.23257520176082166,70.12978113
472,0.8,0.08333333333333334,0.5,0.2223852612700741,67.63410174
473,0.8,0.16666666666666669,0.5,0.21777940816825622,66.5
474,0.8,0.25,0.5,0.21288823673269744,65.3
475,0.8,0.33333333333333337,0.5,0.2061221162468411,63.64217705
476,0.8,0.4166666666666667,0.5,0.20229069862232,62.7
477,0.8,0.5,0.5,0.19010352979538594,59.7122
478,0.8,0.5833333333333334,0.5,0.19210075813157249,60.2
479,0.8,0.6666666666666667,0.5,0.18680198907638373,58.9
480,0.8,0.75,0.5,0.18521235835982713,58.5093
481,0.8,0.8333333333333334,0.5,0.1766120485856362,56.4
482,0.8,0.9166666666666667,0.5,0.1713132795304475,55.1
483,0.8,1.0,0.5,0.16744110214396343,54.145982
484,0.8,0.0,0.625,0.20498084291187732,63.35618405
485,0.8,0.08333333333333334,0.625,0.2035134914812097,63.0
486,0.8,0.16666666666666669,0.625,0.2006603081438004,62.3
487,0.8,0.25,0.625,0.198010923616206,61.65280942
488,0.8,0.33333333333333337,0.625,0.194138746229722,60.7
489,0.8,0.4166666666666667,0.625,0.19047036765305286,59.8
490,0.8,0.5,0.625,0.19336431075242516,60.50713114
491,0.8,0.5833333333333334,0.625,0.18272601288008472,57.9
492,0.8,0.6666666666666667,0.625,0.1786500366837857,56.9
493,0.8,0.75,0.625,0.1729436700089671,55.49543028
494,0.8,0.8333333333333334,0.625,0.1696828890519279,54.7
495,0.8,0.9166666666666667,0.625,0.16479171761636907,53.5
496,0.8,1.0,0.625,0.1613678976114779,52.66286565
497,0.8,0.08333333333333334,0.75,0.2048178038640254,63.32
498,0.8,0.08333333333333334,0.875,0.19369038884812909,60.59
499,0.8,0.8750000000000001,0.03125,0.4847558490258416,132.0
500,0.8,0.8750000000000001,0.0625,0.3441346702535257,97.5
501,0.8,0.8750000000000001,0.125,0.24875682726012874,74.1
502,0.8,0.8750000000000001,0.25,0.194138746229722,60.7
503,0.8,0.8750000000000001,0.375,0.17620445096600632,56.3
504,0.8,0.8750000000000001,0.5,0.17375886524822692,55.7
505,0.8,0.8750000000000001,0.625,0.1672373033341485,54.1
506,0.8,0.625,0.03125,0.5418195157740278,146.0
507,0.8,0.625,0.0625,0.37062851552946924,104.0
508,0.8,0.625,0.125,0.26424553680606505,77.9
509,0.8,0.625,0.25,0.21166544387380773,65.0
510,0.8,0.625,0.375,0.19332355099046217,60.5
511,0.8,0.625,0.5,0.18924757479416315,59.5
512,0.8,0.625,0.625,0.17453330072552373,55.88603706
513,0.0,0.0,0.625,0.10499714681666256,38.83
514,0.06666666666666667,0.0,0.625,0.10487486753077357,38.8
515,0.13333333333333333,0.0,0.625,0.10691285562892308,39.3
516,0.2,0.0,0.625,0.1085432461074427,39.7
517,0.26666666666666666,0.0,0.625,0.11058123420559221,40.2
518,0.33333333333333337,0.0,0.625,0.1130268199233716,40.8
520,0.4666666666666667,0.0,0.625,0.12321676041411914,43.3
521,0.5333333333333333,0.0,0.625,0.13177631042634708,45.4
522,0.6000000000000001,0.0,0.625,0.14392271949131816,48.38
523,0.6666666666666667,0.0,0.625,0.15949294856118038,52.2
524,0.7333333333333334,0.0,0.625,0.17946523192304553,57.1
525,0.8,0.0,0.625,0.20498084291187732,63.36
526,0.9333333333333333,0.0,0.625,0.2736202820575528,80.2
527,1.0,0.0,0.625,0.3176408249775821,91.0
529,0.06666666666666667,0.0,0.5,0.12892312708893777,44.7
530,0.13333333333333333,0.0,0.5,0.132183908045977,45.5
531,0.2,0.0,0.5,0.1358522866226461,46.4
